case,left_label,left_run_id,right_label,right_run_id,n_paired,left_rate,right_rate,rate_delta,agree_rate,cohen_kappa
uninjected_base,gpt-oss-120b (source),hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gpt_oss_120b__llm_gpt_5_4__n50__full__19f0a3c590,Qwen3-30B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__qwen30b__llm_gpt_5_4__n50__full__8a850ef1a1,742,0.4582210242587601,0.444743935309973,-0.013477088948787075,0.628032345013477,0.24913104055144086
injected_full,gpt-oss-120b (source),hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gpt_oss_120b__llm_gpt_5_4__n50__full__19f0a3c590,Qwen3-30B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__qwen30b__llm_gpt_5_4__n50__full__8a850ef1a1,744,0.6478494623655914,0.45698924731182794,-0.19086021505376344,0.5887096774193549,0.19782388093358905
compacted,gpt-oss-120b (source),hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gpt_oss_120b__llm_gpt_5_4__n50__full__19f0a3c590,Qwen3-30B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__qwen30b__llm_gpt_5_4__n50__full__8a850ef1a1,726,0.5853994490358126,0.5977961432506887,0.012396694214876103,0.8911845730027548,0.7748474879678409
post_sssc_upper,gpt-oss-120b (source),hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gpt_oss_120b__llm_gpt_5_4__n50__full__19f0a3c590,Qwen3-30B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__qwen30b__llm_gpt_5_4__n50__full__8a850ef1a1,743,0.9825033647375505,0.9986541049798116,0.01615074024226104,0.9811574697173621,-0.0025057825751738723
uninjected_base,gpt-oss-120b (source),hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gpt_oss_120b__llm_gpt_5_4__n50__full__19f0a3c590,Gemma-4-E4B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gemma_4__llm_gpt_5_4__n50__full__57ed5999a0,730,0.4465753424657534,0.37945205479452054,-0.06712328767123288,0.6917808219178082,0.3672617167335682
injected_full,gpt-oss-120b (source),hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gpt_oss_120b__llm_gpt_5_4__n50__full__19f0a3c590,Gemma-4-E4B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gemma_4__llm_gpt_5_4__n50__full__57ed5999a0,727,0.6437414030261348,0.39339752407152684,-0.25034387895460797,0.5983493810178817,0.24309175574587652
compacted,gpt-oss-120b (source),hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gpt_oss_120b__llm_gpt_5_4__n50__full__19f0a3c590,Gemma-4-E4B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gemma_4__llm_gpt_5_4__n50__full__57ed5999a0,721,0.5686546463245492,0.4576976421636616,-0.1109570041608876,0.608876560332871,0.22673613752186805
post_sssc_upper,gpt-oss-120b (source),hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gpt_oss_120b__llm_gpt_5_4__n50__full__19f0a3c590,Gemma-4-E4B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gemma_4__llm_gpt_5_4__n50__full__57ed5999a0,727,0.9821182943603851,0.9944979367262724,0.012379642365887289,0.9766162310866575,-0.008486332109342975
uninjected_base,Qwen3-30B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__qwen30b__llm_gpt_5_4__n50__full__8a850ef1a1,Gemma-4-E4B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gemma_4__llm_gpt_5_4__n50__full__57ed5999a0,722,0.4293628808864266,0.3739612188365651,-0.05540166204986152,0.6481994459833795,0.27041693189051574
injected_full,Qwen3-30B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__qwen30b__llm_gpt_5_4__n50__full__8a850ef1a1,Gemma-4-E4B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gemma_4__llm_gpt_5_4__n50__full__57ed5999a0,721,0.44105409153952846,0.3883495145631068,-0.05270457697642167,0.680998613037448,0.34474746915970583
compacted,Qwen3-30B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__qwen30b__llm_gpt_5_4__n50__full__8a850ef1a1,Gemma-4-E4B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gemma_4__llm_gpt_5_4__n50__full__57ed5999a0,697,0.5810616929698709,0.4562410329985653,-0.12482065997130559,0.6083213773314203,0.22760207995908277
post_sssc_upper,Qwen3-30B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__qwen30b__llm_gpt_5_4__n50__full__8a850ef1a1,Gemma-4-E4B,hermes_cat_100k__gpt_oss_120b_anthropic_prompt__gemma_4__llm_gpt_5_4__n50__full__57ed5999a0,720,0.9986111111111111,0.9944444444444445,-0.004166666666666652,0.9930555555555556,-0.0022271714922195308
